Date,Units Sold,IQR_Anomaly
2022-01-01,127,0
2022-01-01,150,0
2022-01-01,65,0
2022-01-01,61,0
2022-01-01,14,0
2022-01-01,128,0
2022-01-01,97,0
2022-01-01,312,0
2022-01-01,175,0
2022-01-01,28,0
2022-01-01,150,0
2022-01-01,24,0
2022-01-01,42,0
2022-01-01,12,0
2022-01-01,369,0
2022-01-01,255,0
2022-01-01,246,0
2022-01-01,151,0
2022-01-01,257,0
2022-01-01,99,0
2022-01-01,104,0
2022-01-01,141,0
2022-01-01,182,0
2022-01-01,63,0
2022-01-01,156,0
2022-01-01,250,0
2022-01-01,393,0
2022-01-01,29,0
2022-01-01,9,0
2022-01-01,126,0
2022-01-01,13,0
2022-01-01,25,0
2022-01-01,283,0
2022-01-01,359,0
2022-01-01,129,0
2022-01-01,63,0
2022-01-01,373,0
2022-01-01,160,0
2022-01-01,15,0
2022-01-01,101,0
2022-01-01,147,0
2022-01-01,4,0
2022-01-01,77,0
2022-01-01,31,0
2022-01-01,325,0
2022-01-01,163,0
2022-01-01,34,0
2022-01-01,47,0
2022-01-01,15,0
2022-01-01,126,0
2022-01-01,232,0
2022-01-01,175,0
2022-01-01,17,0
2022-01-01,369,0
2022-01-01,260,0
2022-01-01,347,0
2022-01-01,150,0
2022-01-01,70,0
2022-01-01,249,0
2022-01-01,370,0
2022-01-01,271,0
2022-01-01,180,0
2022-01-01,344,0
2022-01-01,0,0
2022-01-01,200,0
2022-01-01,382,0
2022-01-01,190,0
2022-01-01,51,0
2022-01-01,40,0
2022-01-01,104,0
2022-01-01,46,0
2022-01-01,9,0
2022-01-01,56,0
2022-01-01,63,0
2022-01-01,181,0
2022-01-01,94,0
2022-01-01,46,0
2022-01-01,8,0
2022-01-01,172,0
2022-01-01,68,0
2022-01-01,77,0
2022-01-01,298,0
2022-01-01,64,0
2022-01-01,300,0
2022-01-01,21,0
2022-01-01,176,0
2022-01-01,131,0
2022-01-01,317,0
2022-01-01,97,0
2022-01-01,8,0
2022-01-01,104,0
2022-01-01,87,0
2022-01-01,238,0
2022-01-01,171,0
2022-01-01,250,0
2022-01-01,11,0
2022-01-01,371,0
2022-01-01,107,0
2022-01-01,106,0
2022-01-01,101,0
2022-01-02,81,0
2022-01-02,163,0
2022-01-02,464,1
2022-01-02,116,0
2022-01-02,200,0
2022-01-02,58,0
2022-01-02,56,0
2022-01-02,74,0
2022-01-02,54,0
2022-01-02,39,0
2022-01-02,12,0
2022-01-02,56,0
2022-01-02,31,0
2022-01-02,25,0
2022-01-02,198,0
2022-01-02,77,0
2022-01-02,165,0
2022-01-02,42,0
2022-01-02,8,0
2022-01-02,174,0
2022-01-02,343,0
2022-01-02,71,0
2022-01-02,157,0
2022-01-02,88,0
2022-01-02,64,0
2022-01-02,273,0
2022-01-02,247,0
2022-01-02,42,0
2022-01-02,197,0
2022-01-02,374,0
2022-01-02,154,0
2022-01-02,236,0
2022-01-02,278,0
2022-01-02,27,0
2022-01-02,106,0
2022-01-02,154,0
2022-01-02,176,0
2022-01-02,124,0
2022-01-02,479,1
2022-01-02,78,0
2022-01-02,114,0
2022-01-02,2,0
2022-01-02,7,0
2022-01-02,54,0
2022-01-02,282,0
2022-01-02,93,0
2022-01-02,85,0
2022-01-02,136,0
2022-01-02,140,0
2022-01-02,79,0
2022-01-02,106,0
2022-01-02,1,0
2022-01-02,203,0
2022-01-02,368,0
2022-01-02,286,0
2022-01-02,69,0
2022-01-02,52,0
2022-01-02,109,0
2022-01-02,50,0
2022-01-02,0,0
2022-01-02,22,0
2022-01-02,45,0
2022-01-02,89,0
2022-01-02,209,0
2022-01-02,4,0
2022-01-02,47,0
2022-01-02,115,0
2022-01-02,27,0
2022-01-02,90,0
2022-01-02,206,0
2022-01-02,328,0
2022-01-02,155,0
2022-01-02,184,0
2022-01-02,16,0
2022-01-02,90,0
2022-01-02,178,0
2022-01-02,256,0
2022-01-02,27,0
2022-01-02,67,0
2022-01-02,84,0
2022-01-02,67,0
2022-01-02,15,0
2022-01-02,333,0
2022-01-02,56,0
2022-01-02,165,0
2022-01-02,54,0
2022-01-02,93,0
2022-01-02,250,0
2022-01-02,90,0
2022-01-02,83,0
2022-01-02,16,0
2022-01-02,87,0
2022-01-02,241,0
2022-01-02,286,0
2022-01-02,60,0
2022-01-02,437,1
2022-01-02,377,0
2022-01-02,83,0
2022-01-02,203,0
2022-01-02,183,0
2022-01-03,5,0
2022-01-03,199,0
2022-01-03,176,0
2022-01-03,214,0
2022-01-03,165,0
2022-01-03,9,0
2022-01-03,140,0
2022-01-03,177,0
2022-01-03,217,0
2022-01-03,47,0
2022-01-03,3,0
2022-01-03,2,0
2022-01-03,18,0
2022-01-03,242,0
2022-01-03,228,0
2022-01-03,31,0
2022-01-03,16,0
2022-01-03,20,0
2022-01-03,193,0
2022-01-03,118,0
2022-01-03,96,0
2022-01-03,48,0
2022-01-03,130,0
2022-01-03,11,0
2022-01-03,313,0
2022-01-03,352,0
2022-01-03,265,0
2022-01-03,11,0
2022-01-03,191,0
2022-01-03,185,0
2022-01-03,143,0
2022-01-03,85,0
2022-01-03,270,0
2022-01-03,233,0
2022-01-03,187,0
2022-01-03,39,0
2022-01-03,234,0
2022-01-03,213,0
2022-01-03,55,0
2022-01-03,22,0
2022-01-03,100,0
2022-01-03,353,0
2022-01-03,255,0
2022-01-03,154,0
2022-01-03,147,0
2022-01-03,342,0
2022-01-03,54,0
2022-01-03,289,0
2022-01-03,179,0
2022-01-03,175,0
2022-01-03,209,0
2022-01-03,109,0
2022-01-03,43,0
2022-01-03,58,0
2022-01-03,399,0
2022-01-03,95,0
2022-01-03,296,0
2022-01-03,105,0
2022-01-03,103,0
2022-01-03,131,0
2022-01-03,66,0
2022-01-03,163,0
2022-01-03,98,0
2022-01-03,150,0
2022-01-03,15,0
2022-01-03,36,0
2022-01-03,303,0
2022-01-03,209,0
2022-01-03,69,0
2022-01-03,143,0
2022-01-03,239,0
2022-01-03,192,0
2022-01-03,23,0
2022-01-03,165,0
2022-01-03,85,0
2022-01-03,79,0
2022-01-03,33,0
2022-01-03,270,0
2022-01-03,1,0
2022-01-03,149,0
2022-01-03,3,0
2022-01-03,59,0
2022-01-03,15,0
2022-01-03,351,0
2022-01-03,66,0
2022-01-03,62,0
2022-01-03,77,0
2022-01-03,177,0
2022-01-03,349,0
2022-01-03,74,0
2022-01-03,40,0
2022-01-03,72,0
2022-01-03,190,0
2022-01-03,263,0
2022-01-03,126,0
2022-01-03,17,0
2022-01-03,19,0
2022-01-03,36,0
2022-01-03,207,0
2022-01-03,91,0
2022-01-04,58,0
2022-01-04,91,0
2022-01-04,70,0
2022-01-04,0,0
2022-01-04,32,0
2022-01-04,8,0
2022-01-04,341,0
2022-01-04,347,0
2022-01-04,15,0
2022-01-04,85,0
2022-01-04,30,0
2022-01-04,136,0
2022-01-04,31,0
2022-01-04,7,0
2022-01-04,377,0
2022-01-04,28,0
2022-01-04,348,0
2022-01-04,258,0
2022-01-04,41,0
2022-01-04,49,0
2022-01-04,83,0
2022-01-04,60,0
2022-01-04,448,1
2022-01-04,11,0
2022-01-04,390,0
2022-01-04,81,0
2022-01-04,121,0
2022-01-04,44,0
2022-01-04,88,0
2022-01-04,142,0
2022-01-04,48,0
2022-01-04,61,0
2022-01-04,140,0
2022-01-04,390,0
2022-01-04,91,0
2022-01-04,32,0
2022-01-04,60,0
2022-01-04,206,0
2022-01-04,108,0
2022-01-04,349,0
2022-01-04,271,0
2022-01-04,202,0
2022-01-04,34,0
2022-01-04,165,0
2022-01-04,2,0
2022-01-04,308,0
2022-01-04,76,0
2022-01-04,91,0
2022-01-04,113,0
2022-01-04,274,0
2022-01-04,116,0
2022-01-04,5,0
2022-01-04,115,0
2022-01-04,79,0
2022-01-04,223,0
2022-01-04,258,0
2022-01-04,236,0
2022-01-04,309,0
2022-01-04,32,0
2022-01-04,44,0
2022-01-04,145,0
2022-01-04,150,0
2022-01-04,40,0
2022-01-04,245,0
2022-01-04,241,0
2022-01-04,138,0
2022-01-04,152,0
2022-01-04,12,0
2022-01-04,158,0
2022-01-04,265,0
2022-01-04,240,0
2022-01-04,153,0
2022-01-04,68,0
2022-01-04,302,0
2022-01-04,70,0
2022-01-04,92,0
2022-01-04,275,0
2022-01-04,3,0
2022-01-04,307,0
2022-01-04,62,0
2022-01-04,195,0
2022-01-04,33,0
2022-01-04,263,0
2022-01-04,83,0
2022-01-04,78,0
2022-01-04,118,0
2022-01-04,147,0
2022-01-04,216,0
2022-01-04,27,0
2022-01-04,172,0
2022-01-04,78,0
2022-01-04,196,0
2022-01-04,75,0
2022-01-04,11,0
